split,run_id,bucket,start_ts,end_ts,label,event_count,sequence,score,model_label,start_time,end_time
all,verify_checkout_discount_delay_001,326,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,328,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,330,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,331,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,332,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,333,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,335,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,336,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,337,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,338,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,339,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,341,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,342,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,344,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,345,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,346,,,0,1,168,0.002135146874934435,0,,
all,verify_checkout_discount_delay_001,348,,,0,1,168,0.0012097371509298682,0,,
all,verify_checkout_discount_delay_001,349,,,0,1,168,0.0012097371509298682,0,,
all,verify_checkout_discount_delay_001,350,,,0,1,168,0.0012097371509298682,0,,
all,verify_checkout_discount_delay_001,352,,,0,1,168,0.0012097371509298682,0,,
all,verify_checkout_discount_delay_001,353,,,0,1,168,0.0012097371509298682,0,,
all,verify_checkout_discount_delay_001,356,,,0,1,168,0.0012097371509298682,0,,
all,verify_checkout_discount_delay_001,356290583,1781452919.0,1781452919.0,0,3,163 164 165,0.001987617230042815,0,2026-06-14 16:01:59+00:00,2026-06-14 16:01:59+00:00
all,verify_checkout_discount_delay_001,356290584,1781452920.0,1781452923.0,0,61,163 164 165 163 166 165 163 167 163 164 165 163 169 165 163 170 163 164 171 165 165 165 163 164 165 163 165 163 164 165 163 169 165 163 170 165 163 167 171 165 163 170 163 164 165 165 163 164 163 164 165 165 163 164 165 163 169 165 163 170 165,0.21916839480400085,1,2026-06-14 16:02:00+00:00,2026-06-14 16:02:03+00:00
all,verify_checkout_discount_delay_001,356290585,1781452925.0,1781452929.0,0,87,163 164 165 163 169 165 163 170 165 163 165 163 164 165 163 166 165 163 167 171 165 163 170 165 163 164 165 163 164 165 163 169 165 163 170 1 2 3 4 5 6 2 7 4 5 161 161 165 163 172 173 163 164 165 163 169 165 163 170 163 164 163 164 163 164 174 165 165 163 169 175 165 165 163 170 165 165 163 164 165 163 172 173 165 174 175 165,0.30075231194496155,1,2026-06-14 16:02:05+00:00,2026-06-14 16:02:09+00:00
all,verify_checkout_discount_delay_001,356290586,1781452931.0,1781452934.0,0,61,163 165 163 164 165 163 169 163 164 165 163 170 165 163 169 165 163 170 165 163 164 163 170 165 165 163 164 165 165 163 164 165 163 170 165 8 2 9 4 5 161 163 166 165 163 167 171 165 163 164 165 163 169 165 163 170 165 163 172 173 174,0.26615771651268005,1,2026-06-14 16:02:11+00:00,2026-06-14 16:02:14+00:00
all,verify_checkout_discount_delay_001,356290587,1781452935.0,1781452939.0,0,40,175 165 163 164 165 163 165 163 170 165 163 164 165 163 164 165 163 169 165 163 170 165 163 170 165 163 170 165 163 164 165 163 170 165 163 170 165 163 164 165,0.19763043522834778,0,2026-06-14 16:02:15+00:00,2026-06-14 16:02:19+00:00
all,verify_checkout_discount_delay_001,356290588,1781452940.0,1781452944.0,0,36,163 170 165 163 164 165 163 164 165 163 165 163 164 165 163 164 165 163 164 165 163 164 165 163 164 165 163 164 165 163 169 165 163 170 163 164,0.20034055411815643,0,2026-06-14 16:02:20+00:00,2026-06-14 16:02:24+00:00
all,verify_checkout_discount_delay_001,356290589,1781452945.0,1781452949.0,0,37,165 163 169 165 163 170 163 170 163 164 165 165 165 165 163 165 163 167 171 165 163 164 165 163 170 165 163 164 165 163 164 165 163 164 165 163 169,0.19936135411262512,0,2026-06-14 16:02:25+00:00,2026-06-14 16:02:29+00:00
all,verify_checkout_discount_delay_001,356290590,1781452950.0,1781452954.0,0,41,165 163 170 163 167 165 171 165 163 170 165 163 164 165 163 170 165 163 165 163 166 165 163 167 163 164 165 171 165 163 164 165 163 164 165 163 169 165 163 170 165,0.1966879963874817,0,2026-06-14 16:02:30+00:00,2026-06-14 16:02:34+00:00
all,verify_checkout_discount_delay_001,356290591,1781452955.0,1781452958.0,0,35,163 164 165 163 164 165 163 164 165 163 164 165 163 164 165 163 169 165 163 170 165 163 165 163 164 165 163 169 165 163 170 165 163 164 165,0.19927801191806793,0,2026-06-14 16:02:35+00:00,2026-06-14 16:02:38+00:00
