offset_seconds,samples,tps,error_rate,avg_ms,p95_ms
8410.0,4.0,0.4,1.0,1383.25,2069.5999999999995
8420.0,8.0,0.8,1.0,1234.5,1578.3
8430.0,7.0,0.7,1.0,5884.857142857143,16793.499999999996
8440.0,7.0,0.7,1.0,3450.1428571428573,7599.599999999997
8450.0,6.0,0.6,1.0,2360.6666666666665,5908.75
8460.0,13.0,1.3,1.0,1294.7692307692307,1961.5999999999995
8470.0,5.0,0.5,1.0,3160.6,5999.2
8480.0,4.0,0.4,1.0,5717.5,12197.249999999996
8490.0,11.0,1.1,1.0,1697.909090909091,3733.5
8500.0,13.0,1.3,1.0,1527.923076923077,2551.2
8510.0,2.0,0.2,1.0,6273.0,10094.4
8520.0,7.0,0.7,1.0,2446.714285714286,5183.599999999997
8530.0,11.0,1.1,1.0,3173.3636363636365,9572.0
8540.0,7.0,0.7,1.0,1909.857142857143,2311.0
8550.0,6.0,0.6,1.0,4711.5,7550.0
8560.0,7.0,0.7,1.0,1615.0,2657.499999999999
8570.0,10.0,1.0,1.0,2482.1,6348.649999999999
8580.0,12.0,1.2,1.0,3609.0,12924.549999999992
8590.0,3.0,0.3,1.0,3179.0,6768.299999999999
8600.0,7.0,0.7,1.0,4040.4285714285716,8345.3
8610.0,14.0,1.4,1.0,1746.2857142857142,3163.8999999999987
8620.0,2.0,0.2,1.0,2247.5,3255.0499999999997
8630.0,9.0,0.9,1.0,1455.5555555555557,1710.6
8640.0,9.0,0.9,1.0,3769.8888888888887,7415.4
8650.0,9.0,0.9,1.0,2534.222222222222,6448.999999999998
8660.0,6.0,0.6,1.0,1244.0,1407.5
8670.0,8.0,0.8,1.0,1420.375,1665.4499999999998
8680.0,11.0,1.1,1.0,3854.090909090909,8121.5
8690.0,5.0,0.5,1.0,2306.2,5605.4
8700.0,7.0,0.7,1.0,2966.285714285714,6287.0
8710.0,6.0,0.6,1.0,3796.3333333333335,9449.25
8720.0,14.0,1.4,1.0,2174.1428571428573,5987.299999999997
8730.0,7.0,0.7,1.0,3716.1428571428573,13836.399999999987
8740.0,7.0,0.7,1.0,3193.714285714286,6726.699999999999
8750.0,13.0,1.3,1.0,2033.4615384615386,6112.2
8760.0,7.0,0.7,1.0,3374.4285714285716,7930.999999999997
8770.0,5.0,0.5,1.0,4734.8,9573.8
8780.0,8.0,0.8,1.0,3319.625,7911.4
8790.0,13.0,1.3,1.0,4231.076923076923,9427.399999999998
8800.0,6.0,0.6,1.0,1844.1666666666667,3010.25
8810.0,9.0,0.9,1.0,1397.111111111111,2863.999999999999
8820.0,12.0,1.2,1.0,3025.9166666666665,7091.949999999999
8830.0,9.0,0.9,1.0,2804.4444444444443,5017.2
8840.0,10.0,1.0,1.0,1990.8,5113.649999999995
8850.0,8.0,0.8,1.0,1106.0,1551.3
8860.0,4.0,0.4,1.0,2858.25,5658.549999999998
8870.0,11.0,1.1,1.0,2088.090909090909,5129.0
8880.0,6.0,0.6,1.0,2099.3333333333335,4373.0
8890.0,5.0,0.5,1.0,3237.8,6428.8
8900.0,8.0,0.8,1.0,4244.0,8322.649999999998
8910.0,12.0,1.2,1.0,2531.6666666666665,5383.9
8920.0,9.0,0.9,1.0,2817.4444444444443,7057.199999999999
8930.0,2.0,0.2,1.0,687.5,935.4499999999999
